Waveno.;Instantaneous ;Adj/Inst Ratio;Adjusted;;
5;1,45E-03;0,723;1,05E-03;;1E+15
15;7,06E-03;0,616;4,35E-03;;
25;1,87E-02;0,624;1,16E-02;;
35;2,22E-02;0,603;1,34E-02;;
45;4,40E-02;0,599;2,63E-02;;
55;4,01E-02;0,631;2,53E-02;;
65;6,94E-02;0,602;4,18E-02;;
75;5,56E-02;0,641;3,56E-02;;
85;8,42E-02;0,626;5,27E-02;;
95;8,62E-02;0,645;5,56E-02;;
105;1,09E-01;0,651;7,08E-02;;
115;1,91E-01;0,604;1,16E-01;;
125;1,35E-01;0,652;8,80E-02;;
135;1,75E-01;0,648;1,13E-01;;
145;2,33E-01;0,621;1,45E-01;;
155;1,92E-01;0,665;1,28E-01;;
165;3,42E-01;0,609;2,08E-01;;
175;2,31E-01;0,658;1,52E-01;;
185;4,04E-01;0,619;2,50E-01;;
195;4,86E-01;0,618;3,00E-01;;
205;2,85E-01;0,672;1,92E-01;;
215;5,34E-01;0,625;3,34E-01;;
225;3,45E-01;0,650;2,24E-01;;
235;7,39E-01;0,645;4,77E-01;;
245;5,45E-01;0,639;3,48E-01;;
255;6,43E-01;0,643;4,13E-01;;
265;8,66E-01;0,662;5,74E-01;;
275;7,30E-01;0,646;4,71E-01;;
285;6,99E-01;0,648;4,53E-01;;
295;1,01E+00;0,696;7,05E-01;;
305;8,80E-01;0,654;5,76E-01;;
315;1,13E+00;0,708;7,97E-01;;
325;8,93E-01;0,663;5,92E-01;;
335;1,12E+00;0,710;7,93E-01;;
345;1,14E+00;0,698;7,97E-01;;
355;9,84E-01;0,686;6,75E-01;;
365;1,47E+00;0,771;1,13E+00;;
375;1,28E+00;0,737;9,44E-01;;
385;1,43E+00;0,774;1,11E+00;;
395;1,32E+00;0,734;9,72E-01;;
405;1,77E+00;0,845;1,50E+00;;
415;1,55E+00;0,763;1,18E+00;;
425;1,60E+00;0,842;1,35E+00;;
435;1,83E+00;0,860;1,57E+00;;
445;1,73E+00;0,841;1,45E+00;;
455;1,62E+00;0,810;1,31E+00;;
465;1,96E+00;0,898;1,76E+00;;
475;1,86E+00;0,863;1,60E+00;;
485;1,96E+00;0,905;1,78E+00;;
495;2,18E+00;0,933;2,03E+00;;
505;1,85E+00;0,901;1,67E+00;;
515;1,90E+00;0,904;1,72E+00;;
525;2,11E+00;0,945;2,00E+00;;
535;2,36E+00;0,970;2,29E+00;;
545;2,04E+00;0,949;1,93E+00;;
555;2,36E+00;0,975;2,30E+00;;
565;2,08E+00;0,961;2,00E+00;;
575;2,09E+00;0,973;2,03E+00;;
585;1,78E+00;0,929;1,65E+00;;
595;1,38E+00;0,897;1,23E+00;;
605;1,33E+00;0,929;1,24E+00;;
615;9,16E-01;0,853;7,81E-01;;
625;8,05E-01;0,890;7,16E-01;;
635;2,48E-01;0,863;2,14E-01;;
645;6,06E-02;1,157;7,01E-02;;
655;1,08E-02;1,298;1,40E-02;;
665;3,71E-03;27,734;1,03E-01;;
675;6,34E-03;1,339;8,48E-03;;
685;1,93E-02;1,110;2,14E-02;;
695;1,19E-01;0,899;1,07E-01;;
705;4,16E-01;0,892;3,71E-01;;
715;7,64E-01;0,929;7,10E-01;;
725;1,12E+00;0,916;1,03E+00;;
735;1,24E+00;0,990;1,22E+00;;
745;1,52E+00;1,001;1,52E+00;;
755;2,21E+00;1,053;2,32E+00;;
765;2,71E+00;1,078;2,92E+00;;
775;2,74E+00;1,087;2,98E+00;;
785;2,88E+00;1,093;3,15E+00;;
795;2,48E+00;1,088;2,70E+00;;
805;2,81E+00;1,099;3,09E+00;;
815;2,95E+00;1,103;3,25E+00;;
825;2,95E+00;1,106;3,27E+00;;
835;3,00E+00;1,109;3,32E+00;;
845;2,92E+00;1,111;3,25E+00;;
855;2,80E+00;1,112;3,11E+00;;
865;2,93E+00;1,114;3,26E+00;;
875;2,85E+00;1,116;3,18E+00;;
885;2,78E+00;1,117;3,10E+00;;
895;2,85E+00;1,119;3,19E+00;;
905;2,76E+00;1,121;3,09E+00;;
915;2,77E+00;1,122;3,11E+00;;
925;2,67E+00;1,123;3,00E+00;;
935;2,70E+00;1,124;3,03E+00;;
945;2,55E+00;1,125;2,87E+00;;
955;2,56E+00;1,126;2,88E+00;;
965;2,56E+00;1,127;2,89E+00;;
975;2,40E+00;1,127;2,70E+00;;
985;2,47E+00;1,118;2,76E+00;;
995;2,38E+00;1,080;2,57E+00;;
1005;2,16E+00;0,993;2,15E+00;;
1015;1,81E+00;0,893;1,61E+00;;
1025;1,58E+00;0,821;1,29E+00;;
1035;1,51E+00;0,781;1,18E+00;;
1045;1,62E+00;0,836;1,36E+00;;
1055;1,22E+00;0,786;9,59E-01;;
1065;1,73E+00;0,952;1,65E+00;;
1075;1,97E+00;1,121;2,21E+00;;
1085;2,03E+00;1,121;2,28E+00;;
1095;2,00E+00;1,126;2,25E+00;;
1105;1,92E+00;1,130;2,17E+00;;
1115;1,92E+00;1,124;2,16E+00;;
1125;1,86E+00;1,121;2,09E+00;;
1135;1,68E+00;1,130;1,90E+00;;
1145;1,76E+00;1,131;1,99E+00;;
1155;1,64E+00;1,131;1,86E+00;;
1165;1,60E+00;1,138;1,82E+00;;
1175;1,42E+00;1,141;1,62E+00;;
1185;1,42E+00;1,143;1,62E+00;;
1195;1,44E+00;1,148;1,65E+00;;
1205;1,54E+00;1,148;1,77E+00;;
1215;1,13E+00;1,155;1,31E+00;;
1225;1,13E+00;1,153;1,30E+00;;
1235;1,24E+00;1,146;1,42E+00;;
1245;8,61E-01;1,139;9,80E-01;;
1255;7,47E-01;1,128;8,43E-01;;
1265;4,09E-01;1,111;4,55E-01;;
1275;4,21E-01;1,103;4,64E-01;;
1285;4,28E-01;1,108;4,74E-01;;
1295;3,75E-01;1,090;4,09E-01;;
1305;2,34E-01;1,058;2,47E-01;;
1315;3,12E-01;1,138;3,55E-01;;
1325;4,31E-01;1,151;4,96E-01;;
1335;3,24E-01;1,132;3,67E-01;;
1345;2,79E-01;1,132;3,16E-01;;
1355;3,02E-01;1,150;3,47E-01;;
1365;2,08E-01;1,127;2,34E-01;;
1375;1,97E-01;1,144;2,26E-01;;
1385;2,34E-01;1,157;2,71E-01;;
1395;1,33E-01;1,108;1,48E-01;;
1405;1,93E-01;1,174;2,26E-01;;
1415;1,45E-01;1,088;1,58E-01;;
1425;1,27E-01;1,137;1,45E-01;;
1435;1,00E-01;1,095;1,10E-01;;
1445;1,42E-01;1,159;1,65E-01;;
1455;6,97E-02;1,014;7,07E-02;;
1465;8,71E-02;1,131;9,85E-02;;
1475;6,91E-02;1,057;7,30E-02;;
1485;7,66E-02;1,087;8,33E-02;;
1495;5,27E-02;1,048;5,52E-02;;
1505;3,87E-02;0,978;3,79E-02;;
1515;4,53E-02;1,041;4,71E-02;;
1525;3,30E-02;0,981;3,24E-02;;
1535;3,47E-02;0,995;3,45E-02;;
1545;3,43E-02;0,996;3,41E-02;;
1555;2,87E-02;0,975;2,79E-02;;
1565;3,42E-02;1,028;3,52E-02;;
1575;3,69E-02;1,088;4,02E-02;;
1585;8,51E-02;1,188;1,01E-01;;
1595;7,67E-02;1,171;8,98E-02;;
1605;5,80E-02;1,145;6,64E-02;;
1615;4,07E-02;1,114;4,54E-02;;
1625;3,10E-02;1,097;3,40E-02;;
1635;2,98E-02;1,061;3,16E-02;;
1645;2,54E-02;1,062;2,70E-02;;
1655;2,28E-02;1,007;2,29E-02;;
1665;2,60E-02;1,071;2,78E-02;;
1675;2,26E-02;1,074;2,42E-02;;
1685;1,75E-02;1,048;1,83E-02;;
1695;1,81E-02;1,027;1,86E-02;;
1705;1,80E-02;1,061;1,90E-02;;
1715;1,82E-02;1,068;1,94E-02;;
1725;3,51E-02;1,200;4,21E-02;;
1735;1,59E-02;1,061;1,69E-02;;
1745;1,76E-02;1,142;2,00E-02;;
1755;2,86E-02;1,172;3,35E-02;;
1765;2,83E-02;1,183;3,35E-02;;
1775;2,13E-02;1,141;2,43E-02;;
1785;3,55E-02;1,203;4,27E-02;;
1795;1,92E-02;1,151;2,21E-02;;
1805;3,83E-02;1,224;4,69E-02;;
1815;5,35E-02;1,222;6,54E-02;;
1825;3,10E-02;1,212;3,76E-02;;
1835;3,70E-02;1,215;4,49E-02;;
1845;2,80E-02;1,197;3,35E-02;;
1855;6,54E-02;1,220;7,98E-02;;
1865;3,88E-02;1,210;4,70E-02;;
1875;6,47E-02;1,210;7,83E-02;;
1885;5,83E-02;1,220;7,11E-02;;
1895;5,55E-02;1,214;6,74E-02;;
1905;5,64E-02;1,212;6,84E-02;;
1915;4,16E-02;1,211;5,03E-02;;
1925;5,88E-02;1,208;7,10E-02;;
1935;8,21E-02;1,179;9,68E-02;;
1945;4,19E-02;1,224;5,13E-02;;
1955;8,24E-02;1,192;9,82E-02;;
1965;6,07E-02;1,207;7,32E-02;;
1975;1,15E-01;1,172;1,35E-01;;
1985;8,77E-02;1,189;1,04E-01;;
1995;5,84E-02;1,214;7,10E-02;;
2005;9,88E-02;1,167;1,15E-01;;
2015;7,25E-02;1,193;8,65E-02;;
2025;8,86E-02;1,167;1,03E-01;;
2035;1,05E-01;1,151;1,21E-01;;
2045;6,77E-02;1,171;7,92E-02;;
2055;8,59E-02;1,136;9,76E-02;;
2065;5,63E-02;1,152;6,49E-02;;
2075;5,79E-02;1,104;6,39E-02;;
2085;7,91E-02;1,082;8,56E-02;;
2095;8,24E-02;1,061;8,74E-02;;
2105;9,03E-02;1,039;9,38E-02;;
2115;8,75E-02;1,068;9,35E-02;;
2125;8,44E-02;1,026;8,66E-02;;
2135;8,27E-02;1,148;9,50E-02;;
2145;8,80E-02;1,155;1,02E-01;;
2155;8,79E-02;1,148;1,01E-01;;
2165;7,93E-02;1,148;9,11E-02;;
2175;7,09E-02;1,139;8,08E-02;;
2185;4,49E-02;1,133;5,09E-02;;
2195;2,90E-02;1,123;3,26E-02;;
2205;1,78E-02;1,120;1,99E-02;;
2215;1,24E-02;1,113;1,38E-02;;
2225;1,68E-02;1,113;1,88E-02;;
2235;4,55E-03;1,109;5,05E-03;;
2245;3,54E-03;1,117;3,96E-03;;
2255;1,74E-03;1,109;1,93E-03;;
2265;5,79E-04;1,091;6,32E-04;;
2275;2,73E-04;1,061;2,90E-04;;
2285;3,79E-04;1,060;4,02E-04;;
2295;5,41E-05;1,066;5,76E-05;;
2305;1,91E-05;1,118;2,14E-05;;
2315;1,23E-06;1,360;1,67E-06;;
2325;1,70E-08;-2,500;-4,26E-08;;
2335;4,47E-09;-89391,300;-4,00E-04;;
2345;8,24E-09;-39441,700;-3,25E-04;;
2355;4,18E-09;-100376,800;-4,20E-04;;
2365;3,24E-09;-168,316;-5,45E-07;;
2375;1,93E-06;1,429;2,76E-06;;
2385;1,54E-03;1,165;1,80E-03;;
2395;2,17E-02;1,143;2,48E-02;;
2405;3,19E-02;1,139;3,63E-02;;
2415;3,57E-02;1,139;4,06E-02;;
2425;3,71E-02;1,138;4,22E-02;;
2435;3,68E-02;1,137;4,18E-02;;
2445;3,53E-02;1,134;4,00E-02;;
2455;3,50E-02;1,132;3,96E-02;;
2465;3,50E-02;1,134;3,97E-02;;
2475;3,23E-02;1,130;3,65E-02;;
2485;3,27E-02;1,134;3,71E-02;;
2495;3,25E-02;1,135;3,69E-02;;
2505;3,21E-02;1,136;3,65E-02;;
2515;3,03E-02;1,135;3,44E-02;;
2525;2,89E-02;1,135;3,28E-02;;
2535;2,61E-02;1,132;2,96E-02;;
2545;2,29E-02;1,128;2,59E-02;;
2555;2,15E-02;1,124;2,42E-02;;
2565;2,16E-02;1,126;2,44E-02;;
2575;1,84E-02;1,124;2,07E-02;;
2585;1,88E-02;1,128;2,12E-02;;
2595;2,00E-02;1,134;2,27E-02;;
2605;1,90E-02;1,137;2,17E-02;;
2615;2,04E-02;1,136;2,31E-02;;
2625;1,71E-02;1,139;1,95E-02;;
2635;1,71E-02;1,138;1,95E-02;;
2645;1,66E-02;1,138;1,89E-02;;
2655;1,56E-02;1,138;1,77E-02;;
2665;1,54E-02;1,138;1,75E-02;;
2675;1,44E-02;1,137;1,64E-02;;
2685;1,48E-02;1,136;1,68E-02;;
2695;1,37E-02;1,135;1,55E-02;;
2705;1,40E-02;1,135;1,59E-02;;
2715;1,11E-02;1,140;1,27E-02;;
2725;9,50E-03;1,143;1,09E-02;;
2735;1,22E-02;1,135;1,38E-02;;
2745;1,20E-02;1,127;1,35E-02;;
2755;1,04E-02;1,133;1,18E-02;;
2765;1,03E-02;1,131;1,16E-02;;
2775;9,64E-03;1,126;1,09E-02;;
2785;8,34E-03;1,129;9,41E-03;;
2795;8,19E-03;1,119;9,16E-03;;
2805;8,20E-03;1,129;9,25E-03;;
2815;7,47E-03;1,132;8,45E-03;;
2825;6,81E-03;1,125;7,66E-03;;
2835;7,72E-03;1,130;8,73E-03;;
2845;7,57E-03;1,131;8,56E-03;;
2855;7,35E-03;1,127;8,29E-03;;
2865;6,74E-03;1,125;7,59E-03;;
2875;6,18E-03;1,125;6,96E-03;;
2885;6,29E-03;1,123;7,06E-03;;
2895;5,46E-03;1,130;6,17E-03;;
2905;5,09E-03;1,126;5,73E-03;;
2915;4,75E-03;1,123;5,34E-03;;
2925;4,78E-03;1,123;5,37E-03;;
2935;2,90E-03;1,137;3,30E-03;;
2945;4,00E-03;1,123;4,49E-03;;
2955;3,13E-03;1,132;3,54E-03;;
2965;2,66E-03;1,135;3,02E-03;;
2975;2,15E-03;1,139;2,45E-03;;
2985;1,98E-03;1,145;2,27E-03;;
2995;2,16E-03;1,139;2,46E-03;;
